Trains,Buses,AvgServiceTime,LongestServiceTime,CompletedJobs
14,10,65.05,0.00,10105
14,11,65.15,0.00,10497
14,12,65.01,0.00,11276
14,13,64.42,0.00,11540
14,14,61.96,0.00,12006
14,15,60.89,0.00,12668
14,16,60.34,0.00,13105
14,17,56.07,0.00,13470
14,18,54.64,0.00,14258
14,19,51.96,0.00,14552
14,20,49.96,0.00,15128
14,21,47.03,0.00,15404
14,22,44.27,0.00,15928
14,23,43.23,0.00,16127
14,24,41.78,0.00,16001
14,25,42.04,0.00,16072
14,26,41.82,0.00,16214
14,27,41.25,0.00,16045
14,28,41.44,0.00,15794
14,29,41.42,0.00,16099
14,30,40.99,0.00,16290
14,31,42.12,0.00,16281
14,32,41.64,0.00,16008
14,33,41.56,0.00,16639
14,34,40.80,0.00,16127
14,35,41.83,0.00,15847
14,36,42.02,0.00,15949
14,37,41.47,0.00,16151
14,38,41.30,0.00,15720
14,39,41.00,0.00,16386
14,40,41.79,0.00,16219
14,41,41.41,0.00,15961
14,42,41.38,0.00,16147
14,43,41.87,0.00,15693
14,44,41.73,0.00,16217
14,45,41.16,0.00,16245
14,46,41.82,0.00,16240
14,47,41.15,0.00,16436
14,48,41.54,0.00,15939
14,49,41.68,0.00,16443
14,50,41.14,0.00,15813
15,1,99.12,0.00,3333
15,2,72.73,0.00,5840
15,3,57.56,0.00,7523
15,4,59.95,0.00,7864
15,5,60.86,0.00,8238
15,6,61.95,0.00,8772
15,7,63.63,0.00,9219
15,8,66.64,0.00,9208
15,9,65.69,0.00,9620
15,10,65.43,0.00,10314
15,11,64.02,0.00,10551
15,12,66.08,0.00,11133
15,13,64.51,0.00,11725
15,14,63.46,0.00,12106
15,15,60.92,0.00,12681
15,16,60.16,0.00,13007
15,17,56.50,0.00,13788
15,18,55.05,0.00,14002
15,19,52.23,0.00,14603
15,20,50.20,0.00,14918
15,21,46.23,0.00,15645
15,22,46.25,0.00,15861
15,23,42.44,0.00,16020
15,24,42.13,0.00,16295
15,25,41.84,0.00,16067
15,26,41.12,0.00,15996
15,27,41.12,0.00,16226
15,28,41.39,0.00,16137
15,29,40.79,0.00,16171
15,30,41.22,0.00,16284
15,31,40.91,0.00,16176
15,32,40.79,0.00,16429
15,33,41.45,0.00,16071
15,34,41.33,0.00,16369
15,35,40.88,0.00,16205
15,36,41.14,0.00,16219
15,37,41.95,0.00,16460
15,38,41.47,0.00,16216
15,39,41.35,0.00,16192
15,40,41.70,0.00,15976
15,41,41.34,0.00,16458
15,42,41.84,0.00,16446
15,43,40.78,0.00,16420
15,44,40.63,0.00,15850
15,45,41.51,0.00,15939
15,46,41.23,0.00,16306
15,47,41.26,0.00,16182
15,48,40.72,0.00,16303
15,49,40.97,0.00,16111
15,50,41.57,0.00,16098
16,1,99.46,0.00,3326
16,2,75.51,0.00,5768
16,3,58.00,0.00,7478
16,4,59.06,0.00,7958
16,5,61.15,0.00,8146
16,6,61.61,0.00,8761
16,7,64.49,0.00,8890
16,8,65.17,0.00,9167
16,9,64.98,0.00,9637
